iso_time,pid,cpu_percent,rss_kb,vsz_kb,threads,open_fds
2026-08-13T08:07:42+07:00,52227,83.5,131072,1386368,11,1023
2026-08-13T08:07:44+07:00,52227,86.0,131072,1386368,11,1023
2026-08-13T08:07:46+07:00,52227,82.5,131072,1386368,11,1023
2026-08-13T08:07:48+07:00,52227,76.0,131072,1386368,11,1023
2026-08-13T08:07:50+07:00,52227,76.5,131072,1386368,11,1023
2026-08-13T08:07:52+07:00,52227,79.5,131072,1386368,11,1023
2026-08-13T08:07:54+07:00,52227,75.0,131072,1386368,11,1023
2026-08-13T08:07:56+07:00,52227,78.0,131072,1386368,11,1023
2026-08-13T08:07:58+07:00,52227,81.5,135176,1390464,11,1023
2026-08-13T08:08:00+07:00,52227,77.5,140296,1395584,11,1023
2026-08-13T08:08:02+07:00,52227,81.0,140300,1395584,11,1023
2026-08-13T08:08:04+07:00,52227,82.5,140300,1395584,11,1023
2026-08-13T08:08:06+07:00,52227,80.5,140304,1395584,11,1023
2026-08-13T08:08:08+07:00,52227,84.0,140304,1395584,11,1023
2026-08-13T08:08:10+07:00,52227,85.0,140344,1395584,11,1023
2026-08-13T08:08:12+07:00,52227,85.5,140604,1395584,11,1023
2026-08-13T08:08:14+07:00,52227,81.5,140604,1395584,11,1023
2026-08-13T08:08:17+07:00,52227,81.5,140604,1395584,11,1023
2026-08-13T08:08:19+07:00,52227,83.5,140608,1395584,11,1023
2026-08-13T08:08:21+07:00,52227,81.5,140608,1395584,11,1023
2026-08-13T08:08:23+07:00,52227,81.5,140608,1395584,11,1023
2026-08-13T08:08:25+07:00,52227,81.0,140608,1395584,11,1023
2026-08-13T08:08:27+07:00,52227,85.0,150828,1406080,11,1023
2026-08-13T08:08:29+07:00,52227,83.5,150828,1406080,11,1023
2026-08-13T08:08:31+07:00,52227,80.0,150828,1406080,11,1023
2026-08-13T08:08:33+07:00,52227,83.0,150832,1406080,11,1023
2026-08-13T08:08:35+07:00,52227,83.5,150852,1406080,11,1024
2026-08-13T08:08:37+07:00,52227,82.0,150852,1406080,11,1023
2026-08-13T08:08:39+07:00,52227,79.5,150868,1406080,11,1023
2026-08-13T08:08:41+07:00,52227,84.0,150868,1406080,11,1023
2026-08-13T08:08:43+07:00,52227,79.0,150868,1406080,11,1023
2026-08-13T08:08:45+07:00,52227,82.0,150868,1406080,11,1023
2026-08-13T08:08:47+07:00,52227,82.0,150868,1406080,11,1023
2026-08-13T08:08:49+07:00,52227,80.5,150868,1406080,11,1023
2026-08-13T08:08:51+07:00,52227,84.5,150868,1406080,11,1023
2026-08-13T08:08:53+07:00,52227,77.0,151512,1406080,11,1023
2026-08-13T08:08:55+07:00,52227,78.0,151516,1406080,11,1023
2026-08-13T08:08:57+07:00,52227,83.0,151516,1406080,11,1023
2026-08-13T08:08:59+07:00,52227,83.0,151516,1406080,11,1023
2026-08-13T08:09:01+07:00,52227,83.0,151520,1406080,11,1023
2026-08-13T08:09:03+07:00,52227,81.5,151520,1406080,11,1023
2026-08-13T08:09:05+07:00,52227,85.0,152644,1406080,11,1023
2026-08-13T08:09:07+07:00,52227,86.5,152644,1406080,11,1023
2026-08-13T08:09:09+07:00,52227,81.0,152648,1406080,11,1023
2026-08-13T08:09:11+07:00,52227,85.5,152648,1406080,11,1023
2026-08-13T08:09:13+07:00,52227,85.0,152648,1406080,11,1023
2026-08-13T08:09:15+07:00,52227,82.5,152648,1406080,11,1023
2026-08-13T08:09:17+07:00,52227,83.5,152652,1406080,11,1023
2026-08-13T08:09:19+07:00,52227,84.5,152656,1406080,11,1023
2026-08-13T08:09:21+07:00,52227,81.5,152752,1406080,11,1023
2026-08-13T08:09:23+07:00,52227,81.5,152752,1406080,11,1023
2026-08-13T08:09:25+07:00,52227,81.0,152752,1406080,11,1023
2026-08-13T08:09:27+07:00,52227,81.5,152752,1406080,11,1023
2026-08-13T08:09:29+07:00,52227,83.5,153136,1406080,11,1023
2026-08-13T08:09:31+07:00,52227,89.0,153136,1406080,11,1023
2026-08-13T08:09:33+07:00,52227,86.5,153764,1406080,11,1023
2026-08-13T08:09:36+07:00,52227,92.5,153764,1406080,11,1023
2026-08-13T08:09:38+07:00,52227,97.0,153764,1406080,11,1023
2026-08-13T08:09:40+07:00,52227,94.5,153800,1406080,11,1023
2026-08-13T08:09:42+07:00,52227,101.0,153800,1406080,11,1023
2026-08-13T08:09:44+07:00,52227,98.0,153896,1406212,11,1023
2026-08-13T08:09:46+07:00,52227,84.5,153896,1406212,11,1023
